# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.10.2020 по 01.10.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.10.2022 21:00";"7.0";"759.0";"759.4";"-0.6";"89";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"13.4";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"5.3";"Осадков нет";"12";"";"";"";"";
"01.10.2022 18:00";"10.0";"759.6";"760.0";"-0.8";"75";"Ветер, дующий с юго-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"5.8";"Осадков нет";"12";"";"";"";"";
"01.10.2022 15:00";"13.3";"760.4";"760.8";"-0.8";"59";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.5";"";"";"";"";"";"";
"01.10.2022 12:00";"11.4";"761.2";"761.5";"-0.1";"71";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"01.10.2022 09:00";"8.1";"761.3";"761.7";"0.7";"86";"Ветер, дующий с юго-юго-запада";"2";"";"";"20–30%.";" ";"";"";"7.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.8";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"01.10.2022 06:00";"8.3";"760.6";"761.0";"0.3";"86";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"7.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.1";"Осадков нет";"12";"";"";"";"";
"01.10.2022 03:00";"7.7";"760.3";"760.6";"0.6";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.4";"";"";"";"";"";"";
"01.10.2022 00:00";"8.5";"759.7";"760.1";"0.6";"83";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.7";"";"";"";"";"";"";
"30.09.2022 21:00";"9.6";"759.1";"759.4";"1.2";"76";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.6";"2.0";"12";"";"";"";"";
"30.09.2022 18:00";"9.9";"757.9";"758.3";"0.8";"83";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.2";"2.0";"12";"";"";"";"";
"30.09.2022 15:00";"11.1";"757.1";"757.5";"0.6";"75";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.7";"";"";"";"";"";"";
"30.09.2022 12:00";"10.0";"756.5";"756.9";"0.9";"83";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.3";"";"";"";"";"";"";
"30.09.2022 09:00";"9.2";"755.6";"756.0";"0.8";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"8.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"6.8";"1.0";"12";"Поверхность почвы влажная.";"8.0";"";"";
"30.09.2022 06:00";"8.9";"754.8";"755.2";"0.4";"89";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"8.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.2";"2.0";"12";"";"";"";"";
"30.09.2022 03:00";"9.0";"754.4";"754.8";"0.2";"90";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"7.5";"";"";"";"";"";"";
"30.09.2022 00:00";"8.5";"754.2";"754.6";"-0.2";"92";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"7.2";"";"";"";"";"";"";
"29.09.2022 21:00";"8.4";"754.4";"754.8";"0.1";"90";"Ветер, дующий с востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"6.8";"2.0";"12";"";"";"";"";
"29.09.2022 18:00";"8.9";"754.3";"754.6";"0.2";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"6.5";"0.8";"12";"";"";"";"";
"29.09.2022 15:00";"8.5";"754.1";"754.5";"0.5";"90";"Ветер, дующий с востока";"1";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"6.9";"";"";"";"";"";"";
"29.09.2022 12:00";"7.7";"753.6";"753.9";"0.6";"89";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"5.9";"";"";"";"";"";"";
"29.09.2022 09:00";"6.7";"753.0";"753.4";"0.1";"92";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"6.6";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"5.4";"5.0";"12";"Поверхность почвы влажная.";"7.0";"";"";
"29.09.2022 06:00";"6.7";"752.9";"753.3";"-0.5";"90";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"5.2";"6.0";"12";"";"";"";"";
"29.09.2022 03:00";"7.0";"753.4";"753.8";"-0.9";"91";"Ветер, дующий с востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"5.6";"";"";"";"";"";"";
"29.09.2022 00:00";"7.0";"754.3";"754.7";"-1.1";"89";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"1000-1500";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"5.3";"";"";"";"";"";"";
"28.09.2022 21:00";"8.3";"755.4";"755.8";"-0.5";"86";"Ветер, дующий с востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"10.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"6.1";"0.7";"12";"";"";"";"";
"28.09.2022 18:00";"9.8";"755.9";"756.2";"-0.8";"83";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"0.3";"12";"";"";"";"";
"28.09.2022 15:00";"10.1";"756.7";"757.1";"-0.7";"81";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"6.9";"";"";"";"";"";"";
"28.09.2022 12:00";"9.3";"757.4";"757.8";"-0.7";"86";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"7.1";"";"";"";"";"";"";
"28.09.2022 09:00";"8.0";"758.1";"758.5";"-0.7";"92";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"5.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.8";"Осадков нет";"12";"Поверхность почвы влажная.";"2.0";"";"";
"28.09.2022 06:00";"5.6";"758.8";"759.2";"-0.4";"93";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"5.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"4.6";"Осадков нет";"12";"";"";"";"";
"28.09.2022 03:00";"6.6";"759.2";"759.6";"-0.4";"92";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"28.09.2022 00:00";"8.1";"759.6";"760.0";"0.0";"89";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.4";"";"";"";"";"";"";
"27.09.2022 21:00";"10.1";"759.6";"760.0";"0.4";"85";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"14.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.6";"Осадков нет";"12";"";"";"";"";
"27.09.2022 18:00";"12.3";"759.2";"759.6";"0.0";"58";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"4.3";"Осадков нет";"12";"";"";"";"";
"27.09.2022 15:00";"13.3";"759.2";"759.6";"-0.2";"49";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"2.7";"";"";"";"";"";"";
"27.09.2022 12:00";"13.3";"759.4";"759.7";"0.5";"66";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.0";"";"";"";"";"";"";
"27.09.2022 09:00";"9.9";"758.9";"759.3";"0.4";"87";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"8.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.8";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";"";
"27.09.2022 06:00";"9.0";"758.5";"758.9";"0.0";"90";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"9.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.5";"Осадков нет";"12";"";"";"";"";
"27.09.2022 03:00";"9.1";"758.5";"758.9";"0.0";"88";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.2";"";"";"";"";"";"";
"27.09.2022 00:00";"9.5";"758.5";"758.8";"0.6";"91";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.1";"";"";"";"";"";"";
"26.09.2022 21:00";"10.1";"757.9";"758.3";"0.2";"87";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"12.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.0";"Осадков нет";"12";"";"";"";"";
"26.09.2022 18:00";"11.2";"757.7";"758.1";"0.4";"78";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"7.5";"Осадков нет";"12";"";"";"";"";
"26.09.2022 15:00";"12.5";"757.3";"757.6";"0.3";"76";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.4";"";"";"";"";"";"";
"26.09.2022 12:00";"11.5";"757.0";"757.3";"0.6";"82";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"8.5";"";"";"";"";"";"";
"26.09.2022 09:00";"9.7";"756.4";"756.8";"0.3";"92";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"8.4";"0.5";"12";"Поверхность почвы влажная.";"7.0";"";"";
"26.09.2022 06:00";"9.1";"756.1";"756.4";"0.1";"94";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"8.1";"0.5";"12";"";"";"";"";
"26.09.2022 03:00";"9.1";"756.0";"756.4";"0.2";"94";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1500-2000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.2";"";"";"";"";"";"";
"26.09.2022 00:00";"9.1";"755.8";"756.2";"-0.3";"94";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.1";"";"";"";"";"";"";
"25.09.2022 21:00";"9.0";"756.1";"756.4";"0.2";"94";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.0";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"8.0";"3.0";"12";"";"";"";"";
"25.09.2022 18:00";"8.7";"755.9";"756.2";"0.1";"93";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная умеренная в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"7.6";"7.0";"12";"";"";"";"";
"25.09.2022 15:00";"8.4";"755.8";"756.1";"0.3";"92";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"7.1";"";"";"";"";"";"";
"25.09.2022 12:00";"8.3";"755.5";"755.8";"-0.1";"90";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"6.8";"";"";"";"";"";"";
"25.09.2022 09:00";"6.8";"755.6";"756.0";"-0.6";"92";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.1";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"5.5";"4.0";"12";"Поверхность почвы влажная.";"4.0";"";"";
"25.09.2022 06:00";"6.4";"756.2";"756.6";"-0.7";"86";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"4.2";"Следы осадков";"12";"";"";"";"";
"25.09.2022 03:00";"6.2";"756.9";"757.3";"-0.8";"84";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.6";"";"";"";"";"";"";
"25.09.2022 00:00";"7.3";"757.7";"758.1";"-1.0";"79";"Ветер, дующий с северо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.8";"";"";"";"";"";"";
"24.09.2022 21:00";"8.7";"758.7";"759.1";"-0.7";"71";"Ветер, дующий с северо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"13.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.6";"Осадков нет";"12";"";"";"";"";
"24.09.2022 18:00";"11.7";"759.4";"759.8";"-0.9";"56";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.2";"Следы осадков";"12";"";"";"";"";
"24.09.2022 15:00";"12.9";"760.3";"760.7";"-1.1";"51";"Ветер, дующий с северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"2.8";"";"";"";"";"";"";
"24.09.2022 12:00";"12.0";"761.4";"761.8";"-0.7";"59";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.1";"";"";"";"";"";"";
"24.09.2022 09:00";"9.9";"762.1";"762.5";"-0.3";"86";"Ветер, дующий с северо-востока";"1";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"Следы осадков";"12";"Поверхность почвы влажная.";"3.0";"";"";
"24.09.2022 06:00";"8.9";"762.4";"762.8";"-0.8";"92";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"6.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"Осадков нет";"12";"";"";"";"";
